country_full,year,month,budget
Australia,2015,1,2418.75
Australia,2015,2,71671.44
Australia,2015,3,19991.45
Australia,2015,4,5002.8
Australia,2015,5,30296.71
Australia,2015,6,51663.85
Australia,2015,7,34260.38
Australia,2015,8,62077
Australia,2015,9,43516.59
Australia,2015,10,44758.18
Australia,2015,11,47712.06
Australia,2015,12,44007.61
Canada,2015,1,67754.02
Canada,2015,2,63386.62
Canada,2015,3,14287.99
Canada,2015,4,27031.67
Canada,2015,5,33523.04
Canada,2015,6,106178.13
Canada,2015,7,38137.74
Canada,2015,8,67975.08
Canada,2015,9,82324.35
Canada,2015,10,83123.03
Canada,2015,11,56684.36
Canada,2015,12,104153.77
France,2015,1,7245.77
France,2015,2,33870.58
France,2015,3,3111.18
France,2015,4,2077.9
France,2015,5,31602.51
France,2015,6,15807.1
France,2015,7,32625.98
France,2015,8,43015.53
France,2015,9,7516.81
France,2015,10,22450.5
France,2015,11,43052.78
France,2015,12,22915.29
Germany,2015,1,55620.13
Germany,2015,2,58178.94
Germany,2015,3,47348.64
Germany,2015,4,33006.15
Germany,2015,5,28389.48
Germany,2015,6,31289.79
Germany,2015,7,77249.66
Germany,2015,8,52916.14
Germany,2015,9,71365.52
Germany,2015,10,55157.42
Germany,2015,11,34926.29
Germany,2015,12,99387.31
Italy,2015,1,17968.31
Italy,2015,2,31503.77
Italy,2015,3,15295.15
Italy,2015,4,20726
Italy,2015,5,14646.39
Italy,2015,6,34242.05
Italy,2015,7,17599.99
Italy,2015,8,15840.55
Italy,2015,9,23686.72
Italy,2015,10,13870.05
Italy,2015,11,46735.85
Italy,2015,12,58040.04
Netherlands,2015,1,22264.01
Netherlands,2015,2,21597.03
Netherlands,2015,3,27351.34
Netherlands,2015,4,11369.66
Netherlands,2015,5,19771.08
Netherlands,2015,6,14710.55
Netherlands,2015,7,417.68
Netherlands,2015,8,35639.25
Netherlands,2015,9,40319.17
Netherlands,2015,10,20003
Netherlands,2015,11,5830.05
Netherlands,2015,12,42285.62
United Kingdom,2015,1,106466.39
United Kingdom,2015,2,87643.45
United Kingdom,2015,3,61234.73
United Kingdom,2015,4,11496.5
United Kingdom,2015,5,87770.87
United Kingdom,2015,6,128338.54
United Kingdom,2015,7,107015.48
United Kingdom,2015,8,122679.64
United Kingdom,2015,9,151221.28
United Kingdom,2015,10,111912.3
United Kingdom,2015,11,100886.54
United Kingdom,2015,12,100622.81
United States,2015,1,130440.16
United States,2015,2,338690.23
United States,2015,3,176339.18
United States,2015,4,51551.28
United States,2015,5,350411.25
United States,2015,6,369882.07
United States,2015,7,315259.59
United States,2015,8,346352.34
United States,2015,9,317425.25
United States,2015,10,487293.7
United States,2015,11,366201.5
United States,2015,12,439047.52
Australia,2016,1,42145.75
Australia,2016,2,97916.15
Australia,2016,3,26745.23
Australia,2016,4,15273.32
Australia,2016,5,24293.9
Australia,2016,6,62141.32
Australia,2016,7,21982.35
Australia,2016,8,37886.83
Australia,2016,9,22522.51
Australia,2016,10,33662.03
Australia,2016,11,25069.47
Australia,2016,12,52836.16
Canada,2016,1,92915.21
Canada,2016,2,137692.95
Canada,2016,3,44862.73
Canada,2016,4,18473.35
Canada,2016,5,91162.45
Canada,2016,6,127267.49
Canada,2016,7,51907.95
Canada,2016,8,77269.53
Canada,2016,9,78951.52
Canada,2016,10,90283.02
Canada,2016,11,144960.61
Canada,2016,12,136304.13
France,2016,1,43042.28
France,2016,2,32040.91
France,2016,3,10237.29
France,2016,4,26317.86
France,2016,5,42015.27
France,2016,6,6001.22
France,2016,7,1171.03
France,2016,8,23429.61
France,2016,9,16333.19
France,2016,10,21086.23
France,2016,11,10777
France,2016,12,1854.84
Germany,2016,1,52828.16
Germany,2016,2,118888.26
Germany,2016,3,50480.81
Germany,2016,4,16743.27
Germany,2016,5,79523.74
Germany,2016,6,79926.7
Germany,2016,7,113375.1
Germany,2016,8,119363.64
Germany,2016,9,81168.69
Germany,2016,10,81165.19
Germany,2016,11,81534.11
Germany,2016,12,98304.7
Italy,2016,1,49520.23
Italy,2016,2,53649.6
Italy,2016,3,45266.65
Italy,2016,4,26172.02
Italy,2016,5,22540.74
Italy,2016,6,41552.24
Italy,2016,7,53603.49
Italy,2016,8,19434.1
Italy,2016,9,18570.29
Italy,2016,10,57602.23
Italy,2016,11,61122.21
Italy,2016,12,79597.29
Netherlands,2016,1,13323.42
Netherlands,2016,2,78102.43
Netherlands,2016,3,10368.79
Netherlands,2016,4,23826.03
Netherlands,2016,5,24190.94
Netherlands,2016,6,50023.56
Netherlands,2016,7,15824.62
Netherlands,2016,8,18653.52
Netherlands,2016,9,19264.53
Netherlands,2016,10,40035.04
Netherlands,2016,11,45177.46
Netherlands,2016,12,27507.99
United Kingdom,2016,1,132690.53
United Kingdom,2016,2,233148.64
United Kingdom,2016,3,70582.63
United Kingdom,2016,4,59159.17
United Kingdom,2016,5,115352.32
United Kingdom,2016,6,159287.63
United Kingdom,2016,7,181606.08
United Kingdom,2016,8,73741.87
United Kingdom,2016,9,146323.19
United Kingdom,2016,10,111242.62
United Kingdom,2016,11,176232.69
United Kingdom,2016,12,257321.2
United States,2016,1,374071.13
United States,2016,2,445570.2
United States,2016,3,434447.44
United States,2016,4,228915.49
United States,2016,5,423118.99
United States,2016,6,452413.99
United States,2016,7,385502.86
United States,2016,8,362947.24
United States,2016,9,454212.65
United States,2016,10,357331.76
United States,2016,11,407613.07
United States,2016,12,796853.57
Australia,2017,1,53466.3
Australia,2017,2,89473.04
Australia,2017,3,11599.15
Australia,2017,4,27374.76
Australia,2017,5,65950.52
Australia,2017,6,23966.41
Australia,2017,7,37234.46
Australia,2017,8,72277.27
Australia,2017,9,14545.78
Australia,2017,10,44819.14
Australia,2017,11,81088.1
Australia,2017,12,99768.52
Canada,2017,1,141338.81
Canada,2017,2,90782.76
Canada,2017,3,21791.65
Canada,2017,4,14984.48
Canada,2017,5,137293.55
Canada,2017,6,110769.7
Canada,2017,7,109429.29
Canada,2017,8,85074.39
Canada,2017,9,81462.81
Canada,2017,10,137171.99
Canada,2017,11,170052.56
Canada,2017,12,197380.33
France,2017,1,30351.76
France,2017,2,48906.74
France,2017,3,14838.15
France,2017,4,19948.32
France,2017,5,32985
France,2017,6,26638.02
France,2017,7,22322.5
France,2017,8,19611.05
France,2017,9,27676.3
France,2017,10,24442.93
France,2017,11,29326.58
France,2017,12,41859.47
Germany,2017,1,134288.92
Germany,2017,2,91174.18
Germany,2017,3,62349.58
Germany,2017,4,31531.62
Germany,2017,5,125108.11
Germany,2017,6,82957.67
Germany,2017,7,51758.48
Germany,2017,8,93547.7
Germany,2017,9,126708.63
Germany,2017,10,131016.05
Germany,2017,11,156984.24
Germany,2017,12,143212.19
Italy,2017,1,45660.68
Italy,2017,2,97379.89
Italy,2017,3,40297.42
Italy,2017,4,4333.47
Italy,2017,5,63397.01
Italy,2017,6,69640.98
Italy,2017,7,54025.71
Italy,2017,8,95683.95
Italy,2017,9,71217.19
Italy,2017,10,89684.32
Italy,2017,11,72139.2
Italy,2017,12,78828.87
Netherlands,2017,1,18727.91
Netherlands,2017,2,60191.29
Netherlands,2017,3,21966.23
Netherlands,2017,4,7442.6
Netherlands,2017,5,26069.62
Netherlands,2017,6,33771.08
Netherlands,2017,7,50444.07
Netherlands,2017,8,20586.16
Netherlands,2017,9,24368.92
Netherlands,2017,10,32639.47
Netherlands,2017,11,28956.91
Netherlands,2017,12,57143.72
United Kingdom,2017,1,104285.55
United Kingdom,2017,2,264803.46
United Kingdom,2017,3,128934.84
United Kingdom,2017,4,38151.9
United Kingdom,2017,5,134271.63
United Kingdom,2017,6,126398.39
United Kingdom,2017,7,99712.99
United Kingdom,2017,8,173974.18
United Kingdom,2017,9,165097.59
United Kingdom,2017,10,138695.88
United Kingdom,2017,11,202807.02
United Kingdom,2017,12,215791.42
United States,2017,1,492640.78
United States,2017,2,691638.1
United States,2017,3,341160.59
United States,2017,4,126718.79
United States,2017,5,550235.46
United States,2017,6,698579.41
United States,2017,7,424709.11
United States,2017,8,564506.66
United States,2017,9,690960.95
United States,2017,10,648050.98
United States,2017,11,722086.34
