date,from_currency,to_currency,exchange
01/01/2015,AUD,AUD,1
01/01/2015,AUD,CAD,0.94834
01/01/2015,AUD,EUR,0.67435
01/01/2015,AUD,GBP,0.52525
01/01/2015,AUD,USD,0.81873
01/01/2015,CAD,AUD,1.05447
01/01/2015,CAD,CAD,1
01/01/2015,CAD,EUR,0.71109
01/01/2015,CAD,GBP,0.55386
01/01/2015,CAD,USD,0.86333
01/01/2015,EUR,AUD,1.4829
01/01/2015,EUR,CAD,1.4063
01/01/2015,EUR,EUR,1
01/01/2015,EUR,GBP,0.7789
01/01/2015,EUR,USD,1.2141
01/01/2015,GBP,AUD,1.90384
01/01/2015,GBP,CAD,1.80549
01/01/2015,GBP,EUR,1.28386
01/01/2015,GBP,GBP,1
01/01/2015,GBP,USD,1.55874
01/01/2015,USD,AUD,1.2214
01/01/2015,USD,CAD,1.15831
01/01/2015,USD,EUR,0.82366
01/01/2015,USD,GBP,0.64155
01/01/2015,USD,USD,1
02/01/2015,AUD,AUD,1
02/01/2015,AUD,CAD,0.94798
02/01/2015,AUD,EUR,0.67381
02/01/2015,AUD,GBP,0.52557
02/01/2015,AUD,USD,0.81147
02/01/2015,CAD,AUD,1.05487
02/01/2015,CAD,CAD,1
02/01/2015,CAD,EUR,0.71078
02/01/2015,CAD,GBP,0.55441
02/01/2015,CAD,USD,0.856
02/01/2015,EUR,AUD,1.4841
02/01/2015,EUR,CAD,1.4069
02/01/2015,EUR,EUR,1
02/01/2015,EUR,GBP,0.78
02/01/2015,EUR,USD,1.2043
02/01/2015,GBP,AUD,1.90269
02/01/2015,GBP,CAD,1.80372
02/01/2015,GBP,EUR,1.28205
02/01/2015,GBP,GBP,1
02/01/2015,GBP,USD,1.54397
02/01/2015,USD,AUD,1.23233
02/01/2015,USD,CAD,1.16823
02/01/2015,USD,EUR,0.83036
02/01/2015,USD,GBP,0.64768
02/01/2015,USD,USD,1
03/01/2015,AUD,AUD,1
03/01/2015,AUD,CAD,0.94798
03/01/2015,AUD,EUR,0.67381
03/01/2015,AUD,GBP,0.52557
03/01/2015,AUD,USD,0.81147
03/01/2015,CAD,AUD,1.05487
03/01/2015,CAD,CAD,1
03/01/2015,CAD,EUR,0.71078
03/01/2015,CAD,GBP,0.55441
03/01/2015,CAD,USD,0.856
03/01/2015,EUR,AUD,1.4841
03/01/2015,EUR,CAD,1.4069
03/01/2015,EUR,EUR,1
03/01/2015,EUR,GBP,0.78
03/01/2015,EUR,USD,1.2043
03/01/2015,GBP,AUD,1.90269
03/01/2015,GBP,CAD,1.80372
03/01/2015,GBP,EUR,1.28205
03/01/2015,GBP,GBP,1
03/01/2015,GBP,USD,1.54397
03/01/2015,USD,AUD,1.23233
03/01/2015,USD,CAD,1.16823
03/01/2015,USD,EUR,0.83036
03/01/2015,USD,GBP,0.64768
03/01/2015,USD,USD,1
04/01/2015,AUD,AUD,1
04/01/2015,AUD,CAD,0.94798
04/01/2015,AUD,EUR,0.67381
04/01/2015,AUD,GBP,0.52557
